sub,sub_num,orig_epoch,condition,item_name,familiarity,match_status,isPC_LPC
04,4,111,Anomalous,smell,1.6,unmatched,0.952147694690188
04,4,112,Metaphor,fixed,4.6875,matched,0.963721252874353
04,4,113,Metaphor,cough,2.58823529411765,unmatched,0.936675851238804
04,4,114,Anomalous,tag,2.66666666666667,unmatched,0.955012958225251
04,4,116,Metaphor,key,5.17647058823529,matched,0.978046293494889
04,4,117,Literal,dry,5,unmatched,0.986198067819762
04,4,118,Metaphor,walk,5.88235294117647,matched,0.944788176037056
04,4,119,Anomalous,shoulder,2.4375,matched,0.919714653384269
04,4,120,Anomalous,couch,2.4375,matched,0.977008601781647
04,4,122,Metaphor,words,3.5625,matched,0.983914819044726
04,4,123,Anomalous,plant,3.0625,matched,0.962482734206162
04,4,125,Literal,fight,5.3125,matched,0.963568213527916
04,4,126,Literal,light,5.47058823529412,matched,0.962479740057548
04,4,127,Anomalous,jail,2.52941176470588,matched,0.981785337513076
04,4,128,Literal,rain,5.875,matched,0.985596931378435
04,4,129,Metaphor,heart,4.625,unmatched,0.918550902548053
04,4,132,Metaphor,bag,6.38888888888889,matched,0.952762646771328
04,4,133,Anomalous,food,3.58823529411765,matched,0.945457528577375
04,4,134,Literal,clock,5.5,matched,0.952917504535835
04,4,135,Anomalous,missing,2.8125,unmatched,0.969622645456883
04,4,136,Anomalous,blind,3.26666666666667,matched,0.946977167524887
04,4,138,Anomalous,scale,2.6875,matched,0.964377566580582
04,4,139,Metaphor,running,5.53333333333333,matched,0.971769303605081
04,4,140,Literal,sheep,4.52941176470588,matched,0.914047708098435
04,4,141,Literal,lifting,6.0625,matched,0.982732146985256
04,4,142,Anomalous,root,2.41176470588235,unmatched,0.939632531787487
04,4,143,Metaphor,chains,4.58823529411765,matched,0.976179339641274
04,4,144,Metaphor,growing,2.75,unmatched,0.963972654136999
04,4,145,Anomalous,tears,1.64705882352941,unmatched,0.96918852972011
04,4,146,Anomalous,head,4.375,matched,0.943420191316379
04,4,148,Metaphor,smell,4,unmatched,0.960939833686417
04,4,150,Metaphor,eye,4.375,matched,0.940963971842088
04,4,151,Metaphor,charging,4.625,matched,0.951614297226874
04,4,153,Metaphor,body,3.52941176470588,unmatched,0.905045181233854
04,4,157,Metaphor,teeth,2.6875,unmatched,0.95556932859653
04,4,158,Anomalous,tree,2.375,matched,0.985025745346421
04,4,159,Literal,walking,3.9375,matched,0.941206374241541
04,4,160,Anomalous,fishing,1.35294117647059,unmatched,0.961485078892319
04,4,161,Metaphor,drowning,5.0625,matched,0.965331427951832
05,5,1,Anomalous,lifting,1.94444444444444,unmatched,0.922094810243527
05,5,2,Metaphor,food,5.83333333333333,matched,0.845506449792324
05,5,4,Anomalous,tears,1.64705882352941,matched,0.937090759912445
05,5,5,Anomalous,plant,3.0625,matched,0.967209699818582
05,5,6,Anomalous,couch,2.4375,matched,0.966273167674443
05,5,7,Metaphor,empty,5.05555555555556,unmatched,0.948633259100115
05,5,8,Anomalous,chains,2.6875,matched,0.910520165578515
05,5,9,Anomalous,scale,2.6875,matched,0.940664443256425
05,5,11,Literal,blind,5.70588235294118,matched,0.94118823783421
05,5,14,Literal,light,5.47058823529412,unmatched,0.875089602334359
05,5,17,Metaphor,heart,4.625,unmatched,0.927101696381984
05,5,18,Literal,key,5.33333333333333,matched,0.902100434750697
05,5,20,Metaphor,smell,4,matched,0.915060546278596
05,5,22,Metaphor,bag,6.38888888888889,matched,0.948852266880412
05,5,23,Anomalous,running,3.41176470588235,unmatched,0.978326288487682
05,5,24,Anomalous,fishing,1.35294117647059,unmatched,0.936698639408149
05,5,25,Anomalous,shoulder,2.4375,matched,0.935198339511153
05,5,29,Literal,tag,5.625,matched,0.966373677912258
05,5,30,Literal,walking,3.9375,matched,0.920597907130829
05,5,32,Anomalous,head,4.375,matched,0.955128221438654
05,5,33,Metaphor,jail,4.66666666666667,unmatched,0.94814260529556
05,5,34,Metaphor,growing,2.75,matched,0.938983978407566
05,5,35,Anomalous,scattered,2.88235294117647,matched,0.951509098955939
05,5,36,Literal,missing,6.17647058823529,unmatched,0.898843147550812
05,5,38,Anomalous,words,3.52941176470588,matched,0.885265294268202
05,5,41,Metaphor,rain,5.88235294117647,matched,0.960818911149418
05,5,42,Metaphor,fixed,4.6875,unmatched,0.939491826441061
05,5,43,Literal,eye,5.44444444444444,unmatched,0.926120787210748
05,5,46,Anomalous,dry,1.61111111111111,unmatched,0.972695263681955
05,5,48,Metaphor,charging,4.625,matched,0.922888929327571
05,5,49,Metaphor,cough,2.58823529411765,unmatched,0.926882399714311
05,5,50,Literal,drowning,5.22222222222222,matched,0.880616885625249
05,5,51,Literal,sheep,4.52941176470588,unmatched,0.804906586810259
05,5,52,Anomalous,pills,2.88888888888889,unmatched,0.891095451932832
05,5,53,Metaphor,tree,5.33333333333333,matched,0.844883699780512
05,5,54,Literal,teeth,5.05555555555556,unmatched,0.931696609609528
05,5,58,Metaphor,bin,4.72222222222222,unmatched,0.868000391137761
05,5,60,Anomalous,running,3.41176470588235,matched,0.868188675367042
05,5,61,Metaphor,pills,2.82352941176471,unmatched,0.788137783522576
05,5,62,Literal,jail,5.82352941176471,matched,0.902370363043804
05,5,63,Literal,charging,6.11111111111111,unmatched,0.917261276073761
05,5,64,Anomalous,teeth,1.88235294117647,unmatched,0.809709515440426
05,5,65,Anomalous,light,2.16666666666667,unmatched,0.988868735347255
05,5,67,Metaphor,dry,3.26666666666667,matched,0.790286046621359
05,5,68,Literal,tears,6.375,matched,0.967124633910819
05,5,70,Metaphor,head,4.61111111111111,matched,0.895253779939404
05,5,71,Metaphor,plant,5.66666666666667,matched,0.931172853816252
05,5,73,Literal,walk,5.16666666666667,unmatched,0.985356852252123
05,5,75,Literal,growing,5.11111111111111,matched,0.949606354942011
05,5,76,Anomalous,smell,1.6,matched,0.883192123809921
05,5,77,Metaphor,clock,6.35294117647059,unmatched,0.929803044596377
05,5,82,Literal,couch,6,unmatched,0.819715129213572
05,5,83,Literal,heart,6.38888888888889,matched,0.907011041265863
05,5,84,Metaphor,words,3.5625,matched,0.893543431576943
05,5,89,Metaphor,tree,5.33333333333333,matched,0.944535156907988
05,5,91,Anomalous,broken,2.5625,unmatched,0.943004661827359
05,5,92,Anomalous,rain,2.61111111111111,matched,0.875982995183556
05,5,95,Anomalous,lifting,1.94444444444444,unmatched,0.871176671295121
05,5,96,Metaphor,couple,5.05882352941176,unmatched,0.931125681170685
05,5,97,Literal,blind,5.70588235294118,unmatched,0.961021521798836
05,5,98,Metaphor,body,3.52941176470588,matched,0.876900666539819
05,5,99,Anomalous,missing,2.8125,unmatched,0.963797415968163
05,5,101,Anomalous,sheep,2.72222222222222,matched,0.960728163239065
05,5,103,Literal,drowning,5.22222222222222,unmatched,0.863959675002985
05,5,104,Literal,chains,5.5,matched,0.934965585868879
05,5,105,Literal,scattered,4.72222222222222,matched,0.920764282625868
05,5,106,Anomalous,cough,4.35294117647059,matched,0.853816417926697
05,5,107,Metaphor,thought,5.47058823529412,matched,0.90550106861938
05,5,109,Anomalous,fixed,3.875,matched,0.928620348788537
05,5,110,Metaphor,walking,4.9375,matched,0.819499636192547
05,5,113,Metaphor,fight,4.875,unmatched,0.955995408153072
05,5,114,Metaphor,fishing,4.27777777777778,matched,0.904731912726475
05,5,115,Anomalous,shoulder,2.4375,unmatched,0.88566741848309
05,5,117,Metaphor,bag,6.38888888888889,matched,0.913984419437438
05,5,118,Metaphor,root,3.05555555555556,unmatched,0.897233327866251
05,5,122,Metaphor,tag,3.94444444444444,matched,0.906948449066657
05,5,123,Metaphor,sheep,4,matched,0.851413010146404
05,5,125,Anomalous,drowning,3.4375,unmatched,0.866802480676725
05,5,129,Anomalous,tree,2.375,matched,0.958991216531025
05,5,130,Literal,smell,5.66666666666667,matched,0.930488029392452
05,5,132,Anomalous,bag,1.58823529411765,matched,0.967050865751925
05,5,133,Metaphor,eye,4.375,unmatched,0.926570984414542
05,5,137,Literal,light,5.47058823529412,matched,0.884305715534948
05,5,138,Metaphor,fishing,4.27777777777778,unmatched,0.92849334651675
05,5,142,Anomalous,food,3.58823529411765,unmatched,0.952217304665003
05,5,146,Anomalous,root,2.41176470588235,unmatched,0.955129333284424
05,5,147,Anomalous,fixed,3.875,matched,0.898190132449209
05,5,148,Anomalous,walk,4.23529411764706,matched,0.939285864924987
05,5,149,Literal,body,5.66666666666667,unmatched,0.927217639908819
05,5,150,Literal,head,3.29411764705882,matched,0.945168497114175
05,5,154,Literal,fight,5.3125,matched,0.966632207834362
05,5,157,Literal,charging,6.11111111111111,matched,0.948914174651312
05,5,158,Metaphor,broken,6.55555555555556,matched,0.924679696812425
05,5,159,Anomalous,dry,1.61111111111111,unmatched,0.871761769307795
05,5,161,Anomalous,shoulder,2.4375,matched,0.919230437193839
05,5,165,Metaphor,rain,5.88235294117647,matched,0.937853512775465
05,5,168,Metaphor,bin,4.72222222222222,unmatched,0.960657980446147
05,5,171,Metaphor,tears,4.16666666666667,matched,0.924572946167621
05,5,172,Literal,pills,4.8125,matched,0.819456992854529
05,5,173,Metaphor,couch,6.11111111111111,matched,0.984947372805302
05,5,174,Anomalous,lifting,1.94444444444444,matched,0.966763350139637
06,6,1,Metaphor,fight,4.875,matched,0.945214624827698
06,6,2,Anomalous,words,3.52941176470588,matched,0.931615727561752
06,6,3,Anomalous,smell,1.6,unmatched,0.967763663192073
06,6,5,Anomalous,cough,4.35294117647059,unmatched,0.933387875804002
